M,Point Estimate,90% Confidence Interval
5,93.6856,"(93.0467, 94.3245)"
10,91.1806,"(90.9515, 91.4097)"
15,89.6749,"(89.4617, 89.8881)"
20,87.7405,"(87.1199, 88.3611)"
25,86.1625,"(85.5256, 86.7994)"
30,83.6936,"(83.3656, 84.0216)"
35,81.8676,"(81.1517, 82.5835)"
40,79.3631,"(79.0700, 79.6562)"
45,76.3572,"(75.9604, 76.7540)"
50,72.4308,"(71.5926, 73.2690)"
55,68.5625,"(67.9686, 69.1564)"
60,65.2207,"(64.7839, 65.6575)"
65,62.8829,"(62.6129, 63.1529)"
70,61.5926,"(60.9079, 62.2773)"
75,60.3371,"(59.9879, 60.6863)"
80,60.3980,"(60.2341, 60.5619)"
85,59.9719,"(59.4054, 60.5384)"
90,59.3672,"(59.1650, 59.5694)"
95,59.0983,"(58.8472, 59.3494)"
100,59.0107,"(58.5693, 59.4521)"
105,58.5773,"(58.2342, 58.9204)"
110,58.3097,"(58.2313, 58.3881)"
115,58.3278,"(58.0936, 58.5620)"
120,58.6722,"(58.3561, 58.9883)"
125,58.0789,"(57.6215, 58.5363)"
130,58.1886,"(57.9470, 58.4302)"
135,58.2615,"(57.9761, 58.5469)"
140,57.6649,"(57.3389, 57.9909)"
145,58.0281,"(57.6912, 58.3650)"
150,57.5933,"(57.2737, 57.9129)"
155,57.6609,"(57.1932, 58.1286)"
160,57.7405,"(57.5057, 57.9753)"
165,57.5512,"(57.0856, 58.0168)"
170,57.6147,"(57.3572, 57.8722)"
175,57.9217,"(57.6247, 58.2187)"
180,57.1893,"(56.7768, 57.6018)"
185,57.5211,"(57.1645, 57.8777)"
190,57.5579,"(57.1333, 57.9825)"
195,57.5445,"(57.1851, 57.9039)"
200,57.4455,"(57.1244, 57.7666)"
205,57.3933,"(57.0981, 57.6885)"
210,57.7298,"(57.2964, 58.1632)"
215,57.2495,"(57.0320, 57.4670)"
220,57.1385,"(56.9153, 57.3617)"
225,57.1204,"(56.9562, 57.2846)"
230,57.3806,"(57.1006, 57.6606)"
235,57.1980,"(56.6960, 57.7000)"
240,57.3284,"(57.0875, 57.5693)"
245,57.1826,"(56.9856, 57.3796)"
